,0.4,0.5,0.6,0.7,0.8,0.9,1,1.2,1.4
0,1,1,1,1,1,1,1,1,1
0.2,1,1.07,1.11,1.17,1.2,1.23,1.27,1.33,1.38
0.4,0.5,0.99,1.1,1.19,1.23,1.3,1.39,1.44,1.51
0.6,0.22,0.57,1,1.13,1.22,1.28,1.39,1.5,1.56
0.8,0.15,0.3,0.6,0.98,1.14,1.24,1.33,1.46,1.57
1,0.08,0.2,0.39,0.64,0.99,1.17,1.3,1.45,1.55
1.2,0.07,0.16,0.27,0.45,0.74,0.99,1.23,1.42,1.52
,,,,,,,,,
,0.4,0.5,0.6,0.7,0.8,0.9,1,1.2,1.4
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.2,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.4,0.67,0.77,0.74,0.71,0.68,0.65,0.61,0.57,0.52
0.6,0.74,0.8,0.85,0.85,0.83,0.78,0.75,0.69,0.65
0.8,0.73,0.8,0.85,0.89,0.87,0.85,0.82,0.77,0.73
1,0.71,0.78,0.83,0.87,0.91,0.9,0.88,0.83,0.78
1.2,0.7,0.76,0.82,0.85,0.89,0.92,0.91,0.87,0.82
